rank,sma_period,std_multiplier,train_pnl,train_trades,train_win_rate,val_pnl,val_trades,val_win_rate,test_pnl,test_trades,test_win_rate,avg_pnl,consistency
1,8,1.5,56.06,2500,65.08,27.8,1232,63.88,49.74,1259,65.05,38.77,1.0
2,8,2.0,45.78,1269,65.09,14.11,590,64.24,35.24,593,64.42,24.675,1.0
3,9,1.75,43.98,1924,65.9,35.83,919,64.74,49.85,941,64.72,42.84,1.0
4,10,2.0,43.87,1288,66.46,28.99,632,65.35,34.76,630,65.71,31.875,1.0
5,8,1.25,43.64,2842,65.2,15.57,1415,63.32,30.7,1434,64.85,23.134999999999998,1.0
6,9,1.25,43.62,2651,65.94,40.36,1304,64.49,32.65,1324,65.11,36.504999999999995,1.0
7,12,1.75,43.47,1618,66.93,30.89,782,64.96,44.78,801,64.42,37.835,1.0
8,12,2.0,42.98,1268,66.64,16.95,587,66.44,42.8,604,65.4,29.875,1.0
9,9,1.5,42.58,2340,65.77,16.5,1144,64.77,38.77,1156,63.58,27.635,1.0
10,8,1.75,41.62,1986,65.16,4.54,961,63.58,52.86,982,65.89,28.7,1.0
